t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.0828975306525018,0.0,0.0,0.0,events/second,
1743304110,2,0.04736752717753318,0.0,0.0,0.0,events/second,
1743304140,2,0.027664297676031624,0.0,0.0,0.0,events/second,
1743304170,2,0.01952901408045821,0.0,0.0,0.0,events/second,
1743304200,2,0.015062167322051567,0.0,0.0,0.0,events/second,
1743304231,2,0.012260922231369136,0.0,0.0,0.0,events/second,
1743304261,2,0.010354348036112525,0.0,0.0,0.0,events/second,
1743304291,2,0.008957994653857144,0.0,0.0,0.0,events/second,
1743304321,2,0.007819263531615656,0.0,0.0,0.0,events/second,
1743304354,2,0.006986735313409194,0.0,0.0,0.0,events/second,
1743304384,2,0.006323465378540936,0.0,0.0,0.0,events/second,
1743304414,2,0.005775194069145046,0.0,0.0,0.0,events/second,
1743304444,2,0.005314559651364887,0.0,0.0,0.0,events/second,
1743304474,2,0.004921915818601457,0.0,0.0,0.0,events/second,
1743304504,2,0.004583412468527772,0.0,0.0,0.0,events/second,
1743304534,2,0.0042884755137950255,0.0,0.0,0.0,events/second,
1743304564,2,0.004029132662248397,0.0,0.0,0.0,events/second,
1743304594,2,0.0037993172361354393,0.0,0.0,0.0,events/second,
1743304624,2,0.0035943587361306835,0.0,0.0,0.0,events/second,
1743304654,2,0.0034104112408892447,0.0,0.0,0.0,events/second,
1743304684,2,0.0032443643075501737,0.0,0.0,0.0,events/second,
1743304714,2,0.0030936987473841005,0.0,0.0,0.0,events/second,
1743304744,2,0.0029564436372677932,0.0,0.0,0.0,events/second,
1743304774,2,0.002830831837428727,0.0,0.0,0.0,events/second,
1743304804,2,0.0027154576055879003,0.0,0.0,0.0,events/second,
1743304834,2,0.002609119804755933,0.0,0.0,0.0,events/second,
1743304864,2,0.0025107886438162008,0.0,0.0,0.0,events/second,
1743304894,2,0.002419614535449942,0.0,0.0,0.0,events/second,
1743304925,2,0.002334763024148138,0.0,0.0,0.0,events/second,
1743304955,2,0.0022557192431946673,0.0,0.0,0.0,events/second,
1743304985,2,0.002181835658242465,0.0,0.0,0.0,events/second,
1743305015,2,0.0021126480787031776,0.0,0.0,0.0,events/second,
1743305045,2,0.0020477087943953174,0.0,0.0,0.0,events/second,
1743305075,2,0.001986638638340991,0.0,0.0,0.0,events/second,
1743305105,2,0.0019291234155922863,0.0,0.0,0.0,events/second,
1743339378,2,5.663833952077436E-5,0.0,0.0,0.0,events/second,
1743339410,2,5.65890166800687E-5,0.0,0.0,0.0,events/second,
1743339441,2,5.654059198333984E-5,0.0,0.0,0.0,events/second,
1743339471,2,5.6492593027820366E-5,0.0,0.0,0.0,events/second,
1743339501,2,5.644459426635328E-5,0.0,0.0,0.0,events/second,
1743339531,2,5.63967892867761E-5,0.0,0.0,0.0,events/second,
1743339561,2,5.634879403515898E-5,0.0,0.0,0.0,events/second,
1743339591,2,5.6301092549653944E-5,0.0,0.0,0.0,events/second,
1743339621,2,5.625344918777843E-5,0.0,0.0,0.0,events/second,
1743339651,2,5.6205936935775466E-5,0.0,0.0,0.0,events/second,
1743339681,2,5.615855957737545E-5,0.0,0.0,0.0,events/second,
1743339711,2,5.6111276285521295E-5,0.0,0.0,0.0,events/second,
1743339741,2,5.6064058595287866E-5,0.0,0.0,0.0,events/second,
1743339771,2,5.601693943823664E-5,0.0,0.0,0.0,events/second,
1743339801,2,5.59698888575304E-5,0.0,0.0,0.0,events/second,
1743339831,2,5.592291232419667E-5,0.0,0.0,0.0,events/second,
1743339861,2,5.587600511946322E-5,0.0,0.0,0.0,events/second,
1743339891,2,5.582918406573636E-5,0.0,0.0,0.0,events/second,
1743339921,2,5.578242012521809E-5,0.0,0.0,0.0,events/second,
1743339951,2,5.5735763968232054E-5,0.0,0.0,0.0,events/second,
1743339982,2,5.5689186786591316E-5,0.0,0.0,0.0,events/second,
1743340012,2,5.564267226612552E-5,0.0,0.0,0.0,events/second,
1743340042,2,5.559625277610954E-5,0.0,0.0,0.0,events/second,
1743340072,2,5.554987481349608E-5,0.0,0.0,0.0,events/second,
1743340102,2,5.5503563474822994E-5,0.0,0.0,0.0,events/second,
1743340132,2,5.5457302362397037E-5,0.0,0.0,0.0,events/second,
1743340162,2,5.5411180462409354E-5,0.0,0.0,0.0,events/second,
1743340192,2,5.536514856230793E-5,0.0,0.0,0.0,events/second,
1743340222,2,5.531916142250531E-5,0.0,0.0,0.0,events/second,
1743340252,2,5.527326839037901E-5,0.0,0.0,0.0,events/second,
1743340282,2,5.522746270961579E-5,0.0,0.0,0.0,events/second,
1743340312,2,5.5181699238489185E-5,0.0,0.0,0.0,events/second,
1743340342,2,5.5136034802651275E-5,0.0,0.0,0.0,events/second,
1743340372,2,5.5090456554311226E-5,0.0,0.0,0.0,events/second,
1743340402,2,5.504493037318404E-5,0.0,0.0,0.0,events/second,
1743340432,2,5.499949640856478E-5,0.0,0.0,0.0,events/second,
1743340462,2,5.495413266287842E-5,0.0,0.0,0.0,events/second,
1743340492,2,5.4908856306575686E-5,0.0,0.0,0.0,events/second,
1743340522,2,5.486365215195466E-5,0.0,0.0,0.0,events/second,
1743340552,2,5.481849992962594E-5,0.0,0.0,0.0,events/second,
1743340582,2,5.477343785779518E-5,0.0,0.0,0.0,events/second,
1743340612,2,5.4728443176664E-5,0.0,0.0,0.0,events/second,
1743340642,2,5.468353898298668E-5,0.0,0.0,0.0,events/second,
1743340672,2,5.463870741904951E-5,0.0,0.0,0.0,events/second,
1743340702,2,5.4593935099843834E-5,0.0,0.0,0.0,events/second,
1743340732,2,5.4549238063150846E-5,0.0,0.0,0.0,events/second,
1743340762,2,5.450461923852641E-5,0.0,0.0,0.0,events/second,
1743340792,2,5.446006775472541E-5,0.0,0.0,0.0,events/second,
1743340822,2,5.4415586982047874E-5,0.0,0.0,0.0,events/second,
1743340852,2,5.437117817008143E-5,0.0,0.0,0.0,events/second,
1743340882,2,5.432682405882021E-5,0.0,0.0,0.0,events/second,
1743340912,2,5.4282558340143806E-5,0.0,0.0,0.0,events/second,
1743340942,2,5.423838030285876E-5,0.0,0.0,0.0,events/second,
1743340972,2,5.4194261486650634E-5,0.0,0.0,0.0,events/second,
1743341002,2,5.415021196485232E-5,0.0,0.0,0.0,events/second,
1743341032,2,5.4106237293817855E-5,0.0,0.0,0.0,events/second,
1743341062,2,5.406234239399355E-5,0.0,0.0,0.0,events/second,
1743341092,2,5.401847208824148E-5,0.0,0.0,0.0,events/second,
1743341122,2,5.397470100137195E-5,0.0,0.0,0.0,events/second,
1743341152,2,5.393100615442534E-5,0.0,0.0,0.0,events/second,
1743341182,2,5.388739661889844E-5,0.0,0.0,0.0,events/second,
1743341212,2,5.38438445818005E-5,0.0,0.0,0.0,events/second,
1743341242,2,5.380035227604754E-5,0.0,0.0,0.0,events/second,
1743341272,2,5.375695579621143E-5,0.0,0.0,0.0,events/second,
1743341302,2,5.3713604649078194E-5,0.0,0.0,0.0,events/second,
1743341332,2,5.367031289980458E-5,0.0,0.0,0.0,events/second,
1743341362,2,5.3627108352541424E-5,0.0,0.0,0.0,events/second,
1743341392,2,5.358395652730448E-5,0.0,0.0,0.0,events/second,
